Healthcare Interactive,http://www.hciactive.com/,http://www.linkedin.com/company/hci_2,[u'Henry Cha'],[u'Software'],USA
MakeTime,http://maketime.io,https://www.linkedin.com/company/maketime-inc-,[u'Drura Parrish'],"[u'Marketplaces', u'Manufacturing', u'E-Commerce']",USA
818 Sports & Entertainment,http://www.818se.com/,http://www.linkedin.com/company/818-sports-&-entertainment,[],"[u'Digital Entertainment', u'Entertainment', u'Sports']",USA
ReTenant,http://www.retenant.com/,,"[u'Jacob Johnson', u'Rania Nasreddine']","[u'Communities', u'Real Estate', u'SaaS']",USA
Applitools,http://applitools.com/,http://www.linkedin.com/company/applitools,"[u'Adam Carmi', u'Gil Sever']",[u'Software'],ISR
Connequity,http://connequity.com,http://www.linkedin.com/company/growconnections,[u'Russell Hall'],"[u'Marketing Automation', u'Business Intelligence', u'Software']",USA
trecker.com,http://www.trecker.com,http://www.linkedin.com/company/trecker-com,"[u'Benedikt Voigt', u'Miro Wilms']","[u'Agriculture', u'SaaS']",DEU
Opendoor,https://www.opendoor.com,,"[u'Ian Wong', u'JD Ross', u'Eric Wu', u'Keith Rabois']",[u'Real Estate'],USA
Nylas,http://www.nylas.com,,"[u'Christine Spang', u'Michael Grinich']","[u'Developer APIs', u'Email', u'Social Media']",USA
Beijing Infinite World,http://51play.com/,,[],[u'Games'],
Vgift,http://www.vgift.cn/,,[],[u'Manufacturing'],
Taofang.com,http://www.taofang.com,,[],[u'Real Estate'],
Centec Networks,http://www.centecnetworks.com/,,[],[u'Semiconductors'],CHN
Youbei Game,http://company.2121.com,,[],[u'Enterprises'],
Shanghai Kidstone Network Technology,http://www.kidstone.com.cn/English_index.html,,[],[u'Games'],
Socogame,http://www.socogame.com,,[],"[u'Video', u'Games']",CHN
Xiaohongshu,http://xiaohongshu.com,,[],"[u'Marketplaces', u'Bridging Online and Offline', u'Location Based Services', u'Mobile Shopping']",CHN
Transerv,http://transerv.co.in,http://www.linkedin.com/company/transerv-pvt.-ltd,[],"[u'Mobile Payments', u'Investment Management', u'Payments']",IND
