Name,HomePage URL,LinkedIn Page,Founders,Category,Country,,
BookShout,https://bookshout.com/,,Jason Illian,"Publishing, Internet, EBooks",USA,,
SureCash,http://www.surecashbd.com/,https://www.linkedin.com/company/sure-cash,Shahadat Khan,Financial Services,BGD,,
Genicon,http://geniconendo.com/,https://www.linkedin.com/company/genicon-inc-,Gary Haberland,Medical Devices,USA,,
Pivot Works,http://www.pivotworks.co/,,Ashley Muspratt,Human Resources,RWA,,
Full Measure Education,http://www.fullmeasureed.com/,https://www.linkedin.com/company/full-measure-education-inc,Greg Davies,Education,USA,,
Contego Medical,http://contegomedical.com/,https://www.linkedin.com/company/contego-medical-llc,Ravish Sachar,Medical Devices,USA,,
Spring Inc,http://shopspring.com,https://www.linkedin.com/company/spring-inc-?,"Octavian Costache, Alan Tisch, David Tisch","Shopping, Apps, E-Commerce, Internet, Consumers, Retail",USA,,
Kujiale,http://www.kujiale.com/,,Hang Chen,"Interior Design, Home Decor, Internet",,,
ZO Rooms,http://bit.ly/1HTcZ90,https://www.linkedin.com/company/zo-rooms,"Akhil Malik, Paavan Nanda, Dharamveer Chauhan","Hospitality, Hotels",IND,,
Skyport Systems,http://www.skyportsystems.com/,https://www.linkedin.com/company/3529748?trk=tyah&trkInfo=tas%3Askyport%2Cidx%3A1-2-2,"Rob Rodgers, Will Eatherton, Michael Beesley",Information Technology,USA,,
Tiantian Yongche,http://ttyongche.com,,Guanglong Zhai,"Ride Sharing, Apps, Mobile",CHN,,
Lili & Beauty,http://www.lrlz.com/,https://www.linkedin.com/company/lili&beauty,,Retail,CHN,,
Market Realist,http://marketrealist.com/,,,"Market Research, Finance, Investment Management",,,
Qingchifan,http://www.qingchifan.com/,,,"Social Media, Online Dating, Social Commerce",CHN,,
Zhan.com,http://www.zhan.com/,,,"Training, Education",CHN,,
GlassesUSA,http://www.glassesusa.com/,https://www.linkedin.com/company/glassesusa-llc,"Roy Yamner, Eldad Rothman, Daniel Rothman","Eyewear, Online Shopping, Fashion",USA,,
Beequick,http://www.beequick.cn/show/info?tag=news,,,"Communities, Services, Retail",JPN,,
AMW GmbH,http://www.a-m-w.eu/,,,Pharmaceuticals,,,
Ninox Medical,http://www.xenia.co.il/Ninox,,,"Health Diagnostics, Medical Devices, Medical",ISR,,
Ovid Therapeutics,http://www.ovidrx.com/,https://www.linkedin.com/company/ovid-therapeutics,,Health Care,USA,,
OYO Rooms,http://www.oyorooms.com/,https://www.linkedin.com/company/oyo-rooms,Ritesh Agarwal,"Hospitality, Online Reservations",IND,,
Rubrik,http://rubrik.com/,https://www.linkedin.com/company/rubrik-inc,"Arvind Jain, Arvind Nithrakashyap, Soham Mazumdar, Bipul Sinha",Software,USA,,
Mosambee,http://home.mosambee.in/,,,Fruit,IND,,
Balance Therapeutics,http://balance-therapeutics.com/default.aspx,https://www.linkedin.com/company/balance-therapeutics-inc-,"Daniel Wetmore, Craig Garner",Pharmaceuticals,USA,,
SlimPay,http://www.slimpay.com,https://www.linkedin.com/company/slimpay,"Jean-Louis Hoenen, Jerome Traisnel","Payments, Finance, Banking",,,
Darktrace,http://www.darktrace.com/,https://www.linkedin.com/company/darktrace,Nicole Eagan,Network Security,GBR,,
Carbon3D,http://carbon3d.com,https://www.linkedin.com/company/carbon3d,Joseph M. DeSimone,3D Technology,USA,,
Bark & Co,https://barkbox.com/,https://www.linkedin.com/company/bark-&-co-,"Carly Strife, Henrik Werdelin, Matt Meeker",Pets,USA,,
IdentityMind Global,http://www.identitymindglobal.com/,https://www.linkedin.com/company/identitymind-inc.,"Dan Kolkowitz, Garret Gafke",Risk Management,USA,,
VarageSale,http://varagesale.com,https://www.linkedin.com/company/varagesale,Carl Mercier,"Software, Consumers",CAN,,
nest away,http://nestaway.com,,Jitendra Jagadev,Retail,IND,,
SlipChip,http://www.slipchip.com/,https://www.linkedin.com/company/slipchip-corporation?trk=ppro_cprof,,Biotechnology,USA,,
